epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,10013,0.28713,2.54976,0.16839,0.97043,0.97601,0.98796,0.91026,0.12128,0.2554,0.08235,0.00333292,0.00333292,0.00333292
2,19307.1,0.28609,0.41847,0.13591,0.9723,0.98222,0.98973,0.91752,0.11542,0.24507,0.07292,0.00644627,0.00644627,0.00644627
3,27439.7,0.38521,0.45289,0.15943,0.9706,0.98538,0.98885,0.91883,0.11287,0.25092,0.07175,0.00933962,0.00933962,0.00933962
4,35512,0.42319,0.462,0.17352,0.97188,0.98476,0.98998,0.91689,0.11473,0.25825,0.07443,0.00901,0.00901,0.00901
5,43462.6,0.41332,0.45422,0.1694,0.97663,0.98278,0.99132,0.9147,0.11858,0.28141,0.0769,0.00868,0.00868,0.00868
6,52325.1,0.40858,0.45738,0.16875,0.97708,0.98079,0.9919,0.89942,0.13428,0.3974,0.08577,0.00835,0.00835,0.00835
7,61532.9,0.37615,0.45074,0.16266,0.97084,0.96518,0.98918,0.8484,0.1814,0.8033,0.11175,0.00802,0.00802,0.00802
8,70437.2,0.38958,0.44553,0.16583,0.92163,0.8464,0.94542,0.77846,0.22453,1.35477,0.14463,0.00769,0.00769,0.00769
9,79467.3,0.34075,0.42699,0.15354,0.84359,0.69164,0.83882,0.62172,0.30798,1.7421,0.18973,0.00736,0.00736,0.00736
10,88892.4,0.34551,0.42431,0.15476,0.86979,0.5256,0.78026,0.57646,0.30364,2.06345,0.2019,0.00703,0.00703,0.00703
11,104759,0.33261,0.4159,0.15007,0.91576,0.44039,0.79268,0.63649,0.24145,2.33989,0.19137,0.0067,0.0067,0.0067
12,113277,0.34213,0.41788,0.15224,0.92382,0.52855,0.84738,0.70005,0.21248,2.2809,0.16845,0.00637,0.00637,0.00637
13,121719,0.34738,0.4167,0.15013,0.93312,0.69098,0.91479,0.76568,0.19862,1.99905,0.14286,0.00604,0.00604,0.00604
14,130040,0.32916,0.40749,0.14689,0.93361,0.87687,0.96511,0.80449,0.20802,1.48204,0.12251,0.00571,0.00571,0.00571
15,138223,0.27063,0.38286,0.1318,0.94548,0.94516,0.98375,0.82324,0.20738,0.98015,0.10815,0.00538,0.00538,0.00538
16,146398,0.29111,0.38797,0.13635,0.96867,0.9686,0.99025,0.83693,0.19778,0.62144,0.09846,0.00505,0.00505,0.00505
17,154567,0.28504,0.38207,0.13312,0.979,0.97655,0.99181,0.8473,0.18953,0.41313,0.09046,0.00472,0.00472,0.00472
18,163286,0.29443,0.38198,0.13452,0.98159,0.9794,0.99218,0.84336,0.19448,0.32841,0.08758,0.00439,0.00439,0.00439
19,172206,0.25501,0.36196,0.12508,0.98234,0.98214,0.99239,0.92688,0.10969,0.25009,0.06858,0.00406,0.00406,0.00406
20,180366,0.26394,0.3619,0.12526,0.98138,0.98368,0.99243,0.92669,0.11152,0.23116,0.0671,0.00373,0.00373,0.00373
21,190399,0.23184,0.30691,0.11109,0.98366,0.98401,0.99263,0.92941,0.10854,0.21998,0.06574,0.0034,0.0034,0.0034
22,200660,0.18726,0.27607,0.09994,0.98356,0.98593,0.99281,0.92841,0.11201,0.21689,0.06598,0.00307,0.00307,0.00307
23,211012,0.1637,0.25998,0.09317,0.98388,0.98627,0.99304,0.92719,0.11309,0.2148,0.06583,0.00274,0.00274,0.00274
24,221098,0.14963,0.25031,0.08768,0.98531,0.9861,0.99312,0.92407,0.11821,0.21719,0.06697,0.00241,0.00241,0.00241
25,232096,0.18596,0.25873,0.09638,0.98659,0.98575,0.99317,0.93415,0.10687,0.20703,0.06519,0.00208,0.00208,0.00208
26,243599,0.16942,0.25492,0.09313,0.98702,0.98564,0.99326,0.91687,0.12456,0.22643,0.06949,0.00175,0.00175,0.00175
27,254811,0.12552,0.22288,0.07692,0.9873,0.98566,0.99338,0.9429,0.09699,0.19455,0.06255,0.00142,0.00142,0.00142
28,265095,0.10639,0.20277,0.06769,0.9873,0.98659,0.99348,0.94657,0.09244,0.18744,0.05993,0.00109,0.00109,0.00109
29,277661,0.10173,0.19602,0.06455,0.98735,0.987,0.99352,0.94853,0.09038,0.18421,0.05877,0.00076,0.00076,0.00076
30,287683,0.09742,0.18956,0.06149,0.98726,0.98719,0.99356,0.95083,0.08808,0.18123,0.05774,0.00043,0.00043,0.00043
