epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6223.17,0.83199,1.80092,1.08416,0.93385,0.92677,0.96944,0.82802,0.58907,0.498,0.91037,0.00333251,0.00333251,0.00333251
2,12908.7,0.8062,0.79805,1.04058,0.95377,0.96256,0.98439,0.86753,0.52653,0.36242,0.88626,0.00644587,0.00644587,0.00644587
3,19744.6,0.85615,0.75159,1.06265,0.95782,0.96761,0.98649,0.88058,0.50767,0.3212,0.87795,0.00933923,0.00933923,0.00933923
4,27328.4,0.82507,0.68301,1.04623,0.96405,0.97229,0.98807,0.89798,0.47547,0.28162,0.86277,0.00901,0.00901,0.00901
5,35722.4,0.76946,0.60646,1.01978,0.968,0.97213,0.98875,0.90605,0.46298,0.26926,0.85716,0.00868,0.00868,0.00868
6,43051.8,0.74021,0.57274,1.00659,0.96938,0.9732,0.98917,0.90965,0.45585,0.26437,0.85433,0.00835,0.00835,0.00835
7,50465,0.72503,0.55333,1.00007,0.97041,0.97296,0.98954,0.91287,0.4495,0.25961,0.85122,0.00802,0.00802,0.00802
8,57307.2,0.71189,0.53842,0.99412,0.97009,0.97653,0.98992,0.9166,0.44183,0.25213,0.84713,0.00769,0.00769,0.00769
9,64183.5,0.7002,0.52311,0.98898,0.97245,0.97813,0.99036,0.91983,0.4328,0.24348,0.84265,0.00736,0.00736,0.00736
10,70926,0.69289,0.51527,0.98663,0.97492,0.97773,0.99071,0.9227,0.4254,0.23662,0.83895,0.00703,0.00703,0.00703
11,78939,0.68506,0.50687,0.98237,0.9743,0.98031,0.99095,0.92468,0.41887,0.2308,0.8357,0.0067,0.0067,0.0067
12,86274.3,0.67869,0.49944,0.9801,0.97582,0.98076,0.99109,0.92632,0.41336,0.22623,0.83307,0.00637,0.00637,0.00637
13,92932.4,0.67021,0.49173,0.97657,0.976,0.98147,0.99117,0.92809,0.40869,0.22287,0.83108,0.00604,0.00604,0.00604
14,99980.1,0.66472,0.48437,0.9749,0.97638,0.98198,0.99133,0.92913,0.40455,0.21952,0.82912,0.00571,0.00571,0.00571
15,107597,0.65569,0.4748,0.97071,0.97744,0.98261,0.99147,0.93056,0.40082,0.21668,0.82756,0.00538,0.00538,0.00538
16,114291,0.65036,0.47076,0.9689,0.97678,0.98411,0.99151,0.93154,0.39775,0.21427,0.82626,0.00505,0.00505,0.00505
17,121259,0.64334,0.46261,0.96667,0.9778,0.98407,0.99161,0.93271,0.39451,0.21178,0.82489,0.00472,0.00472,0.00472
18,128284,0.63782,0.45551,0.96393,0.97874,0.98444,0.99172,0.93384,0.39155,0.20967,0.82377,0.00439,0.00439,0.00439
19,135719,0.63093,0.44824,0.9612,0.97812,0.98569,0.99187,0.93497,0.38899,0.2074,0.82266,0.00406,0.00406,0.00406
20,144510,0.62386,0.44004,0.95829,0.97939,0.98506,0.99199,0.93612,0.38615,0.20512,0.82152,0.00373,0.00373,0.00373
21,151258,0.48614,0.30154,0.88054,0.98041,0.98558,0.99209,0.93821,0.38268,0.20223,0.82028,0.0034,0.0034,0.0034
22,157410,0.47357,0.29021,0.87477,0.98142,0.98595,0.99216,0.94007,0.3785,0.19904,0.81854,0.00307,0.00307,0.00307
23,162947,0.4623,0.28024,0.87054,0.98186,0.98626,0.99229,0.94196,0.37403,0.19592,0.81677,0.00274,0.00274,0.00274
24,168468,0.45132,0.27188,0.86615,0.98368,0.98575,0.99245,0.9435,0.37001,0.19302,0.81524,0.00241,0.00241,0.00241
25,175331,0.44048,0.26111,0.8616,0.98352,0.98709,0.99258,0.94472,0.3661,0.19015,0.81354,0.00208,0.00208,0.00208
26,182358,0.42925,0.25209,0.85743,0.98361,0.98783,0.99274,0.9461,0.3623,0.18697,0.81191,0.00175,0.00175,0.00175
27,189593,0.41789,0.24273,0.85373,0.98441,0.98822,0.99287,0.94729,0.35873,0.18425,0.81044,0.00142,0.00142,0.00142
28,196943,0.40574,0.23182,0.84882,0.98486,0.98862,0.99299,0.94859,0.35545,0.18164,0.809,0.00109,0.00109,0.00109
29,204632,0.39225,0.2209,0.84342,0.98491,0.98881,0.99311,0.94965,0.35195,0.17914,0.80756,0.00076,0.00076,0.00076
30,212114,0.37999,0.20975,0.83936,0.98555,0.98846,0.99318,0.95056,0.34892,0.17696,0.80628,0.00043,0.00043,0.00043
